,Average Area,SD Area,Average Eccentricity,SD Eccentricity,# of Objects
v0000026_MH,42.7923,19.8331,0.73747,0.14815,133
v0000027_MH,42.5024,19.6295,0.68607, 0.1578,159
v0000028_MH,60.1592,28.6598,0.70776,0.14602,219
v0000031_MH,51.4044,22.8723,0.70272,0.14225,153
v0000032_MH,39.1203,14.0201,0.68196,0.16501,106
v0000033_MH,42.2953,22.4024,0.69432,0.13253,120
v0000046_MH,49.0512,28.2488,0.69874,0.14878, 94
v0000047_MH,41.2944,25.7757,0.70682,0.15324,131
v0000048_MH,47.8486,22.1401,0.71257,0.14676,156
