,Average Area,SD Area,Average Eccentricity,SD Eccentricity,# of Objects
v0000026_seg,49.2099,23.8888,0.68213,0.16336, 95
v0000027_seg,55.4459,23.2737,0.69402,0.12512,149
v0000028_seg,74.6772,25.9038,0.66432,0.13921,212
v0000031_seg,71.3438,20.8698,0.66794,0.13589,162
v0000032_seg,49.6594,18.2371,0.69234,0.12011,127
v0000033_seg,50.9945,19.6356,0.67638,0.14467,102
v0000046_seg,44.9531,15.7321,0.64356,0.15844, 84
v0000047_seg,50.4019,17.7841,0.68623,0.14017,116
v0000048_seg,63.5035,18.5389,0.67096, 0.1122,143
