,Average Area,SD Area,Average Eccentricity,SD Eccentricity,# of Objects
v0000026_KM,50.0277,22.7303,0.68302,0.14126,178
v0000027_KM,   62.6,29.4197,0.67419,0.13477,263
v0000028_KM,66.9308,23.2394,0.62947,0.13828,250
v0000031_KM,67.7228,24.4771, 0.6532,  0.139,250
v0000032_KM,60.7353,21.9128,0.67265,0.15289,191
v0000033_KM,51.0211,20.3532,0.67896,0.15467,169
v0000046_KM,51.0506, 23.571,0.68805,0.13732,152
v0000047_KM,61.6905,   21.8, 0.6655,0.14254,186
v0000048_KM,74.1588,24.3094,0.64779,0.14711,259
