,Average Area,SD Area,Average Eccentricity,SD Eccentricity,# of Objects
v0000026_seg,65.3473,22.8923,0.65878,0.14817,133
v0000027_seg,78.8231,29.0405,0.65806,0.12775,154
v0000028_seg,80.7235,22.9916,0.59972,0.14246,177
v0000031_seg,77.4669,20.9969,0.64447,0.13757,185
v0000032_seg,72.0172,19.2699,0.64566,0.13303,131
v0000033_seg,59.8458,18.7614,0.68617,0.15037,135
v0000046_seg,57.1273,19.4266,0.68512,0.12862,134
v0000047_seg,67.9654,17.2397,0.64605,0.13879,139
v0000048_seg,87.0678,28.6498, 0.6504,0.13753,202
