,Average Area,SD Area,Average Eccentricity,SD Eccentricity,# of Objects
v0000026_MH,48.1214,23.5932,0.69519,0.14659,173
v0000027_MH, 50.999,23.1672,0.65936,0.14529,182
v0000028_MH, 57.733,22.8306,0.62341,0.15424,176
v0000031_MH,70.3157,26.6876,0.64445,0.13752,178
v0000032_MH,55.3232,19.2864,0.68806,0.13806,176
v0000033_MH,52.9901,20.0936,0.70557,0.15229,171
v0000046_MH,44.7639,21.1174,0.69131, 0.1455,162
v0000047_MH,54.3616,18.6207,0.66286,0.15062,140
v0000048_MH, 65.899,31.1196,0.67094,0.13781,247
